gene_id	gene_name	gene_biotype	PH7MLH_1_tpm	PH7MLH_1_count	PH7MLH_2_count	PH7MLH_2_count
ENSG00000000003	TSPAN6	protein_coding	11.23171453	11.23171453	20.75386807	20.75386807
ENSG00000000005	TNMD	protein_coding	0	0	0	0
ENSG00000000419	DPM1	protein_coding	20.62140264	20.62140264	28.75927188	28.75927188
ENSG00000000457	SCYL3	protein_coding	1.553376455	1.553376455	1.165463689	1.165463689
ENSG00000000460	FIRRM	protein_coding	3.965821542	3.965821541	1.991303794	1.991303794
ENSG00000000938	FGR	protein_coding	0.319008576	0.319008576	0.362251916	0.362251916
ENSG00000000971	CFH	protein_coding	0.135173429	0.135173429	0.024236356	0.024236356
ENSG00000001036	FUCA2	protein_coding	47.56320002	47.56320002	51.79816483	51.79816483
ENSG00000001084	GCLC	protein_coding	6.939544385	6.939544386	4.871419356	4.871419356
ENSG00000001167	NFYA	protein_coding	4.713606887	4.713606887	2.544227908	2.544227908
ENSG00000001460	STPG1	protein_coding	2.282288349	2.282288349	4.131267794	4.131267795
ENSG00000001461	NIPAL3	protein_coding	8.741549854	8.741549855	4.738440604	4.738440604
ENSG00000001497	LAS1L	protein_coding	10.80792301	10.80792301	12.25335869	12.25335869
ENSG00000001561	ENPP4	protein_coding	1.613169614	1.613169614	2.921047725	2.921047725
ENSG00000001617	SEMA3F	protein_coding	0.09006324	0.09006324	0.0340906	0.0340906
ENSG00000001626	CFTR	protein_coding	0	0	0	0
ENSG00000001629	ANKIB1	protein_coding	7.872199036	7.872199037	12.43351428	12.43351428
ENSG00000001630	CYP51A1	protein_coding	32.2733015	32.2733015	32.53381915	32.53381915
ENSG00000001631	KRIT1	protein_coding	3.116318942	3.116318942	3.952055781	3.95205578
ENSG00000002016	RAD52	protein_coding	2.979900023	2.979900023	6.903945285	6.903945283
ENSG00000002330	BAD	protein_coding	36.40211072	36.40211072	17.36914058	17.36914058
ENSG00000002549	LAP3	protein_coding	53.50564537	53.50564537	99.57754273	99.57754272
ENSG00000002586	CD99	protein_coding	245.3972978	245.3972978	1.657398027	1.657398026
ENSG00000002587	HS3ST1	protein_coding	3.750955955	3.750955955	0	0
ENSG00000002726	AOC1	protein_coding	0.056944934	0.056944934	0	0
ENSG00000002745	WNT16	protein_coding	0	0	0	0
ENSG00000002746	HECW1	protein_coding	0	0	0.01772173	0.01772173
ENSG00000002822	MAD1L1	protein_coding	2.939027717	2.939027718	1.620787894	1.620787894
ENSG00000002834	LASP1	protein_coding	17.32008712	17.32008712	40.39118911	40.39118912
ENSG00000002919	SNX11	protein_coding	3.779668976	3.779668976	6.491685646	6.491685644
ENSG00000002933	TMEM176A	protein_coding	0.493135383	0.493135383	0.20363002	0.203630019
ENSG00000003056	M6PR	protein_coding	24.93664969	24.93664969	21.74268684	21.74268684
ENSG00000003096	KLHL13	protein_coding	14.91088334	14.91088334	7.300081851	7.300081851
ENSG00000003137	CYP26B1	protein_coding	0.808949921	0.808949921	0.102067496	0.102067496
